checkpoint,N,MCD,MCD_IC95,F0_RMSE,F0_RMSE_IC95,F0_Corr,F0_Corr_IC95
ckpt_100,1216,27.436,1.612,66.982,2.731,0.5573,0.0106
ckpt_200,1216,25.981,1.553,61.247,2.642,0.6138,0.0098
ckpt_300,1216,24.927,1.506,57.364,2.551,0.6542,0.0091
ckpt_400,1216,24.216,1.472,54.906,2.486,0.6815,0.0084
ckpt_500,1216,23.981,1.447,53.821,2.428,0.6919,0.0080
ckpt_600,1216,24.073,1.451,54.186,2.439,0.6884,0.0081
ckpt_700,1216,24.295,1.463,55.028,2.462,0.6797,0.0085
ckpt_800,1216,24.584,1.489,56.317,2.506,0.6689,0.0088
